ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
4.178074132238119263e-03,-7.370611243446716131e-05,-4.368373149782289840e-09
4.178074132238062885e-03,-7.415829716750614185e-05,-4.422120494589766661e-09
4.178074132238004772e-03,-7.461048190109374225e-05,-4.476197577704698999e-09
4.178074132237945791e-03,-7.506266663517511541e-05,-4.530604399127486380e-09
4.178074132237886811e-03,-7.551485136970084884e-05,-4.585340958858490283e-09
4.178074132237826963e-03,-7.596703610462654445e-05,-4.640407256898033309e-09
4.178074132237764512e-03,-7.641922083991216808e-05,-4.695803293246408279e-09
4.178074132237700328e-03,-7.687140557552175131e-05,-4.751529067903875755e-09
4.178074132237637010e-03,-7.732359031142287651e-05,-4.807584580870673965e-09
4.178074132237571958e-03,-7.777577504758641930e-05,-4.863969832147013841e-09
4.178074132237505171e-03,-7.822795978398614197e-05,-4.920684821733088115e-09
4.178074132237438384e-03,-7.868014452059838182e-05,-4.977729549629068014e-09
4.178074132237368996e-03,-7.913232925740190204e-05,-5.035104015835109047e-09
4.178074132237299607e-03,-7.958451399437760712e-05,-5.092808220351351836e-09
4.178074132237227616e-03,-8.003669873150824469e-05,-5.150842163177917976e-09
4.178074132237155625e-03,-8.048888346877835131e-05,-5.209205844314924927e-09
4.178074132237081899e-03,-8.094106820617392724e-05,-5.267899263762471950e-09
4.178074132237007306e-03,-8.139325294368250413e-05,-5.326922421520650862e-09
4.178074132236930978e-03,-8.184543768129272498e-05,-5.386275317589545208e-09
4.178074132236853783e-03,-8.229762241899442538e-05,-5.445957951969226954e-09
4.178074132236774853e-03,-8.274980715677848449e-05,-5.505970324659763928e-09
4.178074132236695055e-03,-8.320199189463663527e-05,-5.566312435661215687e-09
4.178074132236613523e-03,-8.365417663256150514e-05,-5.626984284973637653e-09
4.178074132236531124e-03,-8.410636137054638560e-05,-5.687985872597076146e-09
4.178074132236447857e-03,-8.455854610858529999e-05,-5.749317198531576663e-09
4.178074132236361989e-03,-8.501073084667281374e-05,-5.810978262777178081e-09
4.178074132236275252e-03,-8.546291558480411570e-05,-5.872969065333915968e-09
4.178074132236187649e-03,-8.591510032297480131e-05,-5.935289606201822585e-09
4.178074132236098311e-03,-8.636728506118092677e-05,-5.997939885380925228e-09
4.178074132236007238e-03,-8.681946979941894133e-05,-6.060919902871251195e-09
4.178074132235914430e-03,-8.727165453768567370e-05,-6.124229658672823646e-09
4.178074132235820755e-03,-8.772383927597825074e-05,-6.187869152785661607e-09
4.178074132235725345e-03,-8.817602401429408391e-05,-6.251838385209785757e-09
4.178074132235629068e-03,-8.862820875263085574e-05,-6.316137355945212640e-09
