gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-9.588650914528333916e-03,1.744379321823207735e-02,7.141643644354846859e-03
1.438398493560619044e-02,-2.151412344999458978e-02,-2.271646691651920888e-02
1.047340225345826624e-02,-6.579582251424818951e-03,4.330703670347240374e-03
7.617451033055991881e-03,6.940535200447858245e-03,-5.447921968611753318e-02
2.061318089671315343e-02,-2.162400410949389534e-02,8.138266067519194999e-03
5.152581120213456205e-03,2.195195141659342028e-02,4.440732773958398424e-03
-1.157076273864093320e-02,-4.427208478199344023e-03,1.579964534647460006e-02
7.641599608204376840e-04,2.488495925560112870e-02,1.459706501447661543e-02
-1.142314626251180864e-03,-2.384444328685600412e-02,1.368170548176180380e-03
-1.520866889382162593e-02,3.883792403872447091e-02,1.173018995271086357e-02
-1.666806248041999283e-02,-2.911746382474141373e-02,3.537106161616349140e-03
-4.400961920947670664e-03,5.741605091967765320e-03,2.311999275669448378e-02
7.511154264971088394e-03,2.750498100316859512e-02,1.431144408964606270e-02
2.202023790150535107e-02,-6.289585213404739507e-03,-1.781134735748126502e-02
7.150369129926947842e-03,3.324439427404897451e-02,1.485130469594549748e-03
-8.227894779909372680e-03,2.677231699740895837e-03,1.508353572203374737e-02
1.831545334819430822e-03,8.360250673567881652e-03,1.129233902882255218e-02
2.748954634145263365e-02,-4.058357207110213638e-02,2.718882227169759289e-02
1.191570345310855213e-02,9.871876517113452668e-03,-2.008405300285444686e-02
-6.498769787538160279e-03,-7.596563921817406015e-03,5.156828812733489469e-03
-3.641114119788727531e-03,2.338723243046062980e-02,-9.913260613041473615e-03
-1.215888260161611216e-02,1.018934206708219103e-03,1.744044222411248596e-02
1.338993527040878602e-02,-3.801251362621204527e-02,1.270855165529601039e-02
-1.599215043141934004e-03,-3.662467953940331221e-03,-5.527219821107296621e-02
9.563420038562432321e-03,-5.336529645833546160e-04,2.580060800827579937e-02
2.885329937927897173e-02,-2.128752560224463422e-02,-2.255177123435897490e-02
-2.573758498011047106e-03,-1.536730730562877942e-02,-8.048857173392386793e-03
2.189555726131510536e-03,1.203282500026269311e-02,1.683310209306175531e-02
-1.003563775042813850e-03,-1.128529693757151890e-02,-1.548910485803375522e-03
-1.274834950482739426e-02,-1.410021747868335507e-02,5.850837497543677490e-03
1.331784549701842991e-03,1.168485025683577800e-03,-3.883836894659495245e-03
3.907812495390364238e-02,2.863723482803033279e-02,-1.693206948599776732e-02
2.887516550863416381e-02,-6.081648684562895348e-03,-3.346176964812035137e-02
-2.598970489152664307e-02,-7.730747665795230199e-03,1.669747220938285273e-02
7.095436867271324305e-03,2.482636230880460107e-02,9.175811897566598166e-03
2.619575479346103117e-02,2.019581947971082342e-02,-2.953917065298183181e-02
5.687272635126370927e-03,1.181966200748302319e-03,-5.292503200294426495e-03
1.564577632874014634e-02,-3.514012235662890282e-02,-3.451702353122583760e-03
1.109498676014156540e-02,1.150241242150373822e-02,1.839634098236644921e-02
2.270333366567130542e-02,3.909868215376592626e-02,-2.619837347432172128e-02
-3.166678308070084574e-02,-3.220643035419296779e-02,1.616141992419623235e-03
2.606113127569148480e-02,7.299877753930727499e-03,-2.276947259165773216e-02
-2.538657047129897794e-03,-1.048636936995048403e-02,5.301465492324058254e-03
1.149709822523654196e-02,8.313708527602412229e-04,2.971839853637856660e-02
3.660669468141487456e-03,-2.773484789628904643e-02,-2.438890129968233206e-02
-9.814792740294375414e-03,-2.726801876782463524e-03,1.395263107636764664e-02
3.234504845007389173e-03,5.979248674686995883e-03,3.256450722828938688e-02
2.129085420439166734e-03,1.747076062664281067e-03,-4.420806883841837953e-02
1.618516063976465150e-02,2.327560414462399169e-02,2.661940216938240775e-02
7.291794701301574852e-03,-2.801015465019303721e-02,-1.334088353489007277e-02
-1.551124507051205269e-02,-2.924997300825953484e-03,1.484510188066786966e-02
-2.059304777196904745e-02,-2.803422199249541637e-03,-1.313894841186256240e-02
2.715645469483266711e-02,-1.701164515030231805e-02,9.735333892965828762e-04
2.512240804289971388e-02,2.302390013086213008e-02,-1.986377208872288497e-02
2.732305333010557041e-03,-9.734175628400332930e-03,2.778668840570207386e-03
1.927230257182688603e-02,-2.114558026959986650e-03,1.746249680298238988e-02
-1.044941064909929440e-02,1.353477661901949028e-02,-2.885421443519120208e-02
-1.931999712039415276e-03,-9.363015310768990976e-03,-7.688659151039605767e-03
-3.850721073168965336e-02,-2.539793176306303843e-02,-2.964336948555695156e-02
-3.152961541063019346e-02,-1.201039383715917300e-02,-6.458215701763532490e-03
-5.693462036856238891e-05,7.269566178406937102e-04,-2.857708508140098611e-03
8.856307149997749359e-03,8.790292360292648044e-03,2.686396397299890132e-02
-1.488870973392743616e-02,1.772972301683657659e-02,-1.308239644143286556e-02
-2.761309201416449824e-02,2.272327589403157558e-02,-2.605742392009137431e-02
3.021202307050631364e-02,2.498724683130537508e-04,2.393389246797899411e-02
-1.428622984990776494e-02,-5.791708129288690443e-03,-1.255757615354009859e-03
3.034307359339615765e-03,3.568266577994930189e-02,-1.198272937265683694e-02
1.605091398388849497e-02,-5.156506381511986436e-04,-3.545203036753127868e-02
-8.315450365869987356e-03,1.374202173779703016e-02,1.505280984324863791e-02
4.096272823132182835e-03,-2.445606738767215627e-02,6.421237682773220552e-03
-1.572521820637113070e-03,3.122750344780142115e-02,-1.745624675433736592e-03
1.411455565054605538e-02,-4.890516619244557328e-02,1.819219997196428601e-02
-1.200596095564313015e-02,-8.086068358398564374e-03,3.894387061560041809e-03
7.080953803997245589e-03,4.216492596016046916e-03,-3.452328157609114295e-02
1.012790345552914105e-02,-1.431065051463542917e-02,-2.902181329025524045e-02
8.511432422247009258e-03,-4.534054289482120775e-02,-3.573491275571968884e-02
-5.499843051226546362e-03,1.389418044492015877e-02,-1.291588159018261343e-02
-1.147970947466675495e-02,-3.200846782494874265e-03,2.492125434738256401e-02
9.007162734806778773e-03,4.833361714347688201e-03,-7.067281966588620686e-03
4.742854713568285530e-03,1.837436738611440343e-02,-8.050360175347931815e-03
2.219536562282272210e-02,7.502241643086123186e-03,1.805691273538919187e-02
-6.738029835785608671e-03,1.413383944567261907e-02,3.004717045062714822e-02
-4.779732784365306464e-02,8.385068324306898038e-03,-1.831125296116944273e-02
3.908546111090341335e-02,7.691444119701222430e-03,-1.976446456562709272e-02
-6.435383794795422434e-03,2.083424607905452752e-02,-9.532557310864497868e-03
2.684391361316943239e-02,-2.547317547531834786e-02,-1.256957048934702337e-02
-4.652504635827763718e-02,-2.663023122971474796e-02,2.522261362442061033e-02
-1.966631953412141531e-02,1.971030731258329241e-02,-6.477055082189834374e-04
3.352767161472397072e-03,-4.546559518915878513e-03,-1.738423313601333495e-02
1.825656133942587731e-02,1.187925670720395505e-03,2.843654565752580174e-02
-8.510932017588934348e-03,-3.293515038706088666e-02,2.493665252988904596e-02
9.855330961749956403e-03,-4.153699575867148518e-03,-2.842511692794455133e-02
1.114373110795913516e-02,-2.585458710505143462e-02,5.233040693262128173e-02
1.780082787575297185e-02,2.327318738734432749e-02,-2.827381553302359130e-03
2.366117786764531175e-03,-2.740535331460690598e-03,3.616136925661270207e-02
4.444240407039182911e-02,-3.847777801881906851e-02,-1.566875649731031689e-02
2.109815644269341303e-02,3.274444793830905576e-03,2.542091797579704854e-02
-1.350144661881792817e-03,1.215283486404793861e-02,-5.879098439108228213e-02
-1.107743315241609822e-02,1.192689534546565594e-02,1.488628653025715967e-02
