Yaw (deg),Pitch (deg),Roll (deg)
-4.175070701131924564e-03,3.273165687320341632e+00,8.194081640621051627e-03
-4.311060278653905745e-03,3.274578483444464005e+00,8.369431503357031496e-03
-4.274968722485715002e-03,3.276095377093834582e+00,8.283495113766083454e-03
-3.942745502358994784e-03,3.277864580420030816e+00,8.292417050154822847e-03
-4.057161541637540475e-03,3.279337450060372472e+00,8.594656272217749207e-03
-4.308517695451492824e-03,3.280647104527247393e+00,8.309915860850256714e-03
-4.105183866953034631e-03,3.282269989906979379e+00,8.293537932898564086e-03
-3.951810636353890634e-03,3.283710518691275837e+00,8.105161585320156542e-03
-3.793850689240664195e-03,3.284937272095382443e+00,7.892891471501977188e-03
-3.733942245119139473e-03,3.286671927687122352e+00,7.910565485641262926e-03
-4.059540118450704477e-03,3.288061620618335734e+00,8.030675839492292661e-03
-3.772091779714343857e-03,3.289567445115467947e+00,7.797511949057903471e-03
-3.579869599889845110e-03,3.291326616829174156e+00,7.518010402048722757e-03
-3.608821484821646275e-03,3.292859897209428066e+00,7.429174764514572503e-03
-3.256676734828256852e-03,3.294137722932300782e+00,7.613762802582512215e-03
-3.126952546223679252e-03,3.295337149778492236e+00,7.693531911172400532e-03
-3.000765519071941102e-03,3.296794442397315006e+00,8.039461651023835018e-03
-2.894894590143500326e-03,3.298238711560142367e+00,8.139423524019688549e-03
-3.109466779776166780e-03,3.299441642067976410e+00,8.110989541561646962e-03
-3.472871694873964563e-03,3.301094058699079348e+00,8.025525385219309943e-03
-3.585769152053005972e-03,3.302815276044528847e+00,8.064760109508141081e-03
-3.447133192056586141e-03,3.304651863806894241e+00,8.489242072612002490e-03
-3.862157353273499173e-03,3.305763516891243370e+00,8.547673701587044093e-03
-4.168834091349683628e-03,3.307063775078036727e+00,8.848001686632859381e-03
-4.135464431734901455e-03,3.308655404377931042e+00,8.874113020257453147e-03
-4.109811696197605314e-03,3.310491576526907398e+00,9.009611310564888745e-03
-3.622503332538361438e-03,3.311974685891919012e+00,9.261494276298650949e-03
-3.652169485498205689e-03,3.313138492868144880e+00,9.617438429020061519e-03
-3.339266013843793755e-03,3.314767747217282512e+00,9.174572452115191401e-03
-3.599150373607892632e-03,3.316530218725453505e+00,8.605179908759955434e-03
-3.616207133701412977e-03,3.318026619223517493e+00,8.526670962998387712e-03
-3.545055344084559103e-03,3.319346788180094876e+00,8.597723522494830212e-03
-3.351345227497494299e-03,3.320933541195409067e+00,8.811309516849564691e-03
-3.318452716878512662e-03,3.322718496626553719e+00,8.738439344559296648e-03
-3.294026886981453808e-03,3.324254167490111822e+00,8.718033182184066476e-03
-3.403361724682271369e-03,3.326039325078957720e+00,8.972937877867192408e-03
-3.891738516178518386e-03,3.327369741648225521e+00,9.012648901753106054e-03
-4.063623074507577773e-03,3.329245096760180989e+00,8.908823752624485046e-03
-4.315420274971205027e-03,3.330751240037210348e+00,8.969516041174428744e-03
-4.296357468041963473e-03,3.332265889880804632e+00,9.279425283857401993e-03
-4.006629633496666849e-03,3.333583360100439652e+00,9.216162904708924061e-03
-3.955581769746627230e-03,3.334917800507112062e+00,9.080800455753535588e-03
-4.290323991196973857e-03,3.336484654299884500e+00,9.242626040383230060e-03
-4.234878414689182378e-03,3.338055306344736017e+00,9.157791693020651477e-03
-4.352655123112435590e-03,3.339860821229565957e+00,9.062296672970577768e-03
-4.673582018782419974e-03,3.341394078507891496e+00,9.137646641928783703e-03
-4.637151296567821462e-03,3.343357041666522811e+00,9.275527985992213648e-03
-4.717954928807314811e-03,3.345188400493058989e+00,9.277542385668993002e-03
-5.000053754224103274e-03,3.346839112903773117e+00,9.609487128675379269e-03
-5.258635819921163301e-03,3.348159636492915592e+00,9.963468156656654293e-03
-5.444366940517878818e-03,3.350044803884745015e+00,9.339313129358374835e-03
-5.088321361156638266e-03,3.351899710782417330e+00,9.283171455239840400e-03
-5.250153778949896363e-03,3.353961162787833405e+00,9.353727444683594683e-03
-5.178569308108708739e-03,3.355735744489883654e+00,9.261031275085132922e-03
-5.406146349613230422e-03,3.357121368348348511e+00,9.390472192099659499e-03
-5.362764720183602757e-03,3.358656866224411619e+00,9.496584010925814695e-03
-5.908463569196211948e-03,3.360328235792703566e+00,9.539733090426844725e-03
-5.826955964139341262e-03,3.361714428637094798e+00,9.749567404489333303e-03
-5.782426363702355791e-03,3.363536959154391770e+00,9.802353154560898563e-03
-5.624154128459108934e-03,3.365096251789827519e+00,9.694643554254037815e-03
-5.477886798724634562e-03,3.366949240979383529e+00,9.709468730372660533e-03
-5.464212123398421231e-03,3.368315531566167920e+00,9.697576965093348406e-03
-5.346624183226672024e-03,3.370309201363163698e+00,9.551304003508741952e-03
-5.311217114130094286e-03,3.371623904068331790e+00,9.385774296170884198e-03
-5.079596029092965474e-03,3.373287738195609009e+00,9.354297398007985209e-03
-4.936174391874523920e-03,3.375169793481958447e+00,9.436791367941756853e-03
-5.114597633134143444e-03,3.376714529041613400e+00,9.645305539639255007e-03
-5.099659057100654376e-03,3.378655144904582741e+00,9.716357152754557386e-03
-4.948546672772627386e-03,3.380290639269660780e+00,9.641736502110163920e-03
-4.835404617312474319e-03,3.381983543295239425e+00,9.665454612504047888e-03
-4.563098243468939261e-03,3.383187554631902128e+00,9.955169810594547905e-03
-4.764244195080966082e-03,3.384896775062553154e+00,1.006137065561154599e-02
-4.712561022413505607e-03,3.386431839926029141e+00,9.998518039337453076e-03
-4.811785424907030415e-03,3.388277342082683052e+00,9.955407002003998848e-03
-4.637043304381933267e-03,3.389899686698667480e+00,9.843175964554048626e-03
-4.509763052636997158e-03,3.391132297994409406e+00,9.983751275367125713e-03
-5.063412967657269191e-03,3.392709100704073943e+00,9.934312695008207933e-03
-4.804907699943251551e-03,3.394317623557854269e+00,1.004452353674241925e-02
-5.030797738964492942e-03,3.395719265596635061e+00,1.031912250623563850e-02
-5.111397203383940928e-03,3.397180657186786412e+00,1.028794317984971403e-02
-4.942685224941585805e-03,3.398916578370673847e+00,1.031925360549156012e-02
-4.958163916378481584e-03,3.400419924409646466e+00,1.030763808367980705e-02
-4.899515335391613040e-03,3.401895680959875268e+00,1.018308074735652796e-02
-4.938364270221424872e-03,3.403524714913128246e+00,1.019346487746886250e-02
-5.107868816521502972e-03,3.405429033179252496e+00,1.057359006149635738e-02
-5.443010086122183032e-03,3.406986767354613477e+00,1.084197155181766334e-02
-5.275663472042426728e-03,3.408528489472291145e+00,1.059175079795524228e-02
-5.183630233987395267e-03,3.410396369030870733e+00,1.066754864756583841e-02
-5.479442227317076787e-03,3.412218588913323192e+00,1.091120111490845833e-02
-5.532386379286071548e-03,3.413851197869619547e+00,1.096427201071859675e-02
-5.566941457698835159e-03,3.415121155001350051e+00,1.111829348609086852e-02
-5.382542349002848898e-03,3.416858067965834689e+00,1.123970961616692008e-02
-5.644832357519706349e-03,3.418871604453754820e+00,1.145047252860695308e-02
-5.628626750092079016e-03,3.420172607911463825e+00,1.113411099478293052e-02
-5.856642851151418021e-03,3.421869295371893660e+00,1.138034358489925686e-02
-5.803476923986848959e-03,3.423388638211144031e+00,1.135742876932902164e-02
-5.505680439547616829e-03,3.425021682829628045e+00,1.148950107001590198e-02
-5.749981573559177078e-03,3.426369746563464158e+00,1.151081426471038498e-02
-5.610134110062833107e-03,3.427968386946159907e+00,1.142029832004471009e-02
-5.283807068972734382e-03,3.429654623547492509e+00,1.147160598614343704e-02
-5.726577906791339122e-03,3.431299264579318553e+00,1.146607673662020273e-02
-5.459761109325564701e-03,3.433159621809866557e+00,1.164350147272786087e-02
-5.593370909228303177e-03,3.434507775413093267e+00,1.170794717927671133e-02
-5.444561525555073958e-03,3.436107296316794013e+00,1.156132636539127824e-02
-5.576080113315978748e-03,3.437708661223106699e+00,1.134744639219597943e-02
-5.566243559053303015e-03,3.439168488757333719e+00,1.161959997860482867e-02
-5.765066773481690270e-03,3.441029287513630130e+00,1.185891077336215758e-02
-5.737134368283216927e-03,3.442563031995706346e+00,1.188770618082335938e-02
-5.562080667157120843e-03,3.444173515030740873e+00,1.209071981906330133e-02
-5.851014143918293817e-03,3.445941161263798680e+00,1.196838717934620502e-02
-5.927950928745644166e-03,3.447480357999710421e+00,1.194411034787517742e-02
-6.224868384153816984e-03,3.448859823380220124e+00,1.154091209123039169e-02
-6.289505234684458421e-03,3.450373689235407326e+00,1.122130522052799430e-02
-6.318058700989265426e-03,3.452015494386577732e+00,1.121846224727647556e-02
-6.048831864192182398e-03,3.453738447515750210e+00,1.132277572341796809e-02
-6.179790466562578612e-03,3.455551446288108508e+00,1.116533321160635521e-02
-6.440733172803357262e-03,3.457414978169672359e+00,1.087280732002740558e-02
-6.200881206022169911e-03,3.459054252610984648e+00,1.118893798310879178e-02
-6.213404386972547384e-03,3.460633732699251564e+00,1.104469685155587584e-02
-6.333321281151031538e-03,3.462628550232405900e+00,1.106706545333736511e-02
-6.688442951547547526e-03,3.464262002949636265e+00,1.120514501024656891e-02
-6.537557005795338431e-03,3.466038507286002712e+00,1.113023264510932912e-02
-6.473218250027228289e-03,3.467433620735344668e+00,1.117422999143123999e-02
-6.490588333110073639e-03,3.469386158915469753e+00,1.115660458846266280e-02
-6.308367164286819880e-03,3.470537904467239976e+00,1.130795986925593223e-02
-6.269306368756766973e-03,3.472098442104023519e+00,1.118944181162834402e-02
-6.615101449264423374e-03,3.473782653631943607e+00,1.123855160596585502e-02
-6.905823395888647555e-03,3.475282156198295613e+00,1.132133252356105034e-02
-7.263866705074890733e-03,3.476471946439575245e+00,1.138375396011279302e-02
-7.393182449421347238e-03,3.478254611754148851e+00,1.131991805067956471e-02
-7.143462466746840558e-03,3.479866825267587060e+00,1.121931871667348340e-02
-7.214219610493386760e-03,3.481560015997147595e+00,1.130386469196006764e-02
-7.294804004632250531e-03,3.483389191670938523e+00,1.134505714449038014e-02
-7.113860204426409456e-03,3.485110166683158095e+00,1.157649666975501049e-02
-6.812776664448120210e-03,3.486898006282874718e+00,1.152589227441150332e-02
-6.996175551914608076e-03,3.488629027575894437e+00,1.103553525369297024e-02
-7.194129194766959133e-03,3.490353688447381142e+00,1.141323706131992972e-02
-7.289543888101270366e-03,3.492210330678593877e+00,1.134195808205117756e-02
-7.415476145296300871e-03,3.493604478050484019e+00,1.160159579889595907e-02
-7.162776348489801291e-03,3.494987552593604718e+00,1.115080492642527010e-02
-7.169176467356153104e-03,3.496834656970219335e+00,1.095286236654574585e-02
-7.343307955943202507e-03,3.498439797712843191e+00,1.097479977037157765e-02
