gyro_bias_x (deg/s),gyro_bias_y (deg/s),gyro_bias_z (deg/s)
5.648882683963606917e-06,1.566531294946836572e-01,-1.446033215243661501e-05
-1.529943143091285957e-05,1.566398389632090993e-01,-1.562208395300854701e-05
-1.042389063288644810e-05,1.566336186960739230e-01,-1.531086777122849169e-05
-1.857320244610971796e-05,1.566337561573046544e-01,-1.574471771375000065e-05
-2.096665706583330418e-05,1.566396103216454727e-01,-1.584174531958755462e-05
-8.148359518174776454e-06,1.566505852086022554e-01,-1.510296248024133527e-05
-2.247091192817138054e-06,1.566662056153441673e-01,-1.477144356602337175e-05
-7.962595454292897672e-06,1.566860037094273128e-01,-1.512713075233392001e-05
-1.322496010682841212e-05,1.567095515669499339e-01,-1.544115472389325367e-05
-3.277170784539602810e-05,1.567364540601301204e-01,-1.658281780531911201e-05
-4.783532686763649890e-05,1.567664020395454494e-01,-1.752055500122172288e-05
-6.039509579336993397e-05,1.567990869187781688e-01,-1.835544028683351798e-05
-6.200922503061889008e-05,1.568342443909091777e-01,-1.856642026518347152e-05
-4.984068261431959251e-05,1.568716040752912710e-01,-1.800410324121327646e-05
-1.967130864276249634e-05,1.569108858374603510e-01,-1.641286758201288882e-05
-2.998841248373953553e-05,1.569520485593809134e-01,-1.711335855709072637e-05
-2.918446726305304903e-05,1.569948273393892424e-01,-1.718202416572925501e-05
-5.217484974397979637e-05,1.570390230733761661e-01,-1.861897550344806997e-05
-4.738894270927998358e-05,1.570845621542588666e-01,-1.848811505933449644e-05
-6.004060223140883322e-05,1.571312673472849697e-01,-1.934739990131191734e-05
-5.701790351950889124e-05,1.571790429151110613e-01,-1.931500333425966066e-05
-7.307453612190915415e-05,1.572277485875150371e-01,-2.035282322351542912e-05
-7.101022137646365517e-05,1.572773357918514914e-01,-2.034321765023750864e-05
-7.352340822352247077e-05,1.573276925357257050e-01,-2.061609527447548054e-05
-9.586245594059109325e-05,1.573786942420868917e-01,-2.198496228251838985e-05
-9.220464938273745692e-05,1.574303755792457737e-01,-2.185403535795222061e-05
-1.052051267219991252e-04,1.574825946123770692e-01,-2.265294666785268220e-05
-1.196572372802794733e-04,1.575353127635440442e-01,-2.350981582118062162e-05
-1.376690843650446670e-04,1.575884697120758793e-01,-2.457155091991288540e-05
-1.409327763533935445e-04,1.576420806842729339e-01,-2.479670832889002309e-05
-1.482044194863196287e-04,1.576960500058209591e-01,-2.522623013462480562e-05
-1.371894980908560941e-04,1.577503727496307462e-01,-2.457627971306837765e-05
-1.166336153847589177e-04,1.578049791236711685e-01,-2.337081706552424594e-05
-1.126539733894222679e-04,1.578598681494201295e-01,-2.314060348001936986e-05
-9.109643289136534219e-05,1.579149754561269270e-01,-2.190717882900329776e-05
-8.195359293479003186e-05,1.579703213059278355e-01,-2.142303565710536897e-05
-7.178036221749491054e-05,1.580258598382411617e-01,-2.088589881887309018e-05
-5.883274093160044508e-05,1.580815676941826897e-01,-2.018168620118392692e-05
-8.567935284421282255e-05,1.581373824496347114e-01,-2.176041152879203971e-05
-8.204335907414643417e-05,1.581934087369443187e-01,-2.158262361280350767e-05
-8.052559058900825935e-05,1.582495619639183726e-01,-2.156719624762231129e-05
-7.173479325782246741e-05,1.583058257782998524e-01,-2.113116438134974380e-05
-5.994502934390041356e-05,1.583621870466403181e-01,-2.054541616327261938e-05
-5.453036363989708545e-05,1.584186488626505296e-01,-2.032184533471058049e-05
-6.780790448338594413e-05,1.584751817463382340e-01,-2.118481161238803024e-05
-6.811102243700310071e-05,1.585318054409385613e-01,-2.131394790144653818e-05
