ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
2.440905646773967613e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.586146141966760297e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.735854346658331919e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.890035674637329070e-06,0.000000000000000000e+00,0.000000000000000000e+00
3.048694998313535588e-06,0.000000000000000000e+00,0.000000000000000000e+00
3.211836702855754681e-06,0.000000000000000000e+00,0.000000000000000000e+00
3.379464734915910889e-06,0.000000000000000000e+00,0.000000000000000000e+00
3.551582646480735196e-06,0.000000000000000000e+00,0.000000000000000000e+00
3.728193634338286041e-06,0.000000000000000000e+00,0.000000000000000000e+00
3.909300575597816439e-06,0.000000000000000000e+00,0.000000000000000000e+00
4.094906059657652920e-06,0.000000000000000000e+00,0.000000000000000000e+00
4.285012416976290800e-06,0.000000000000000000e+00,0.000000000000000000e+00
4.479621744966375185e-06,0.000000000000000000e+00,0.000000000000000000e+00
4.678735931299286164e-06,0.000000000000000000e+00,0.000000000000000000e+00
4.882356674879266155e-06,0.000000000000000000e+00,0.000000000000000000e+00
5.090485504720132741e-06,0.000000000000000000e+00,0.000000000000000000e+00
5.303123796934324373e-06,0.000000000000000000e+00,0.000000000000000000e+00
5.520272790023032607e-06,0.000000000000000000e+00,0.000000000000000000e+00
5.741933598637330606e-06,0.000000000000000000e+00,0.000000000000000000e+00
5.968107225963185658e-06,0.000000000000000000e+00,0.000000000000000000e+00
6.198794574867966371e-06,0.000000000000000000e+00,0.000000000000000000e+00
6.433996457932306190e-06,0.000000000000000000e+00,0.000000000000000000e+00
6.673713606478774111e-06,0.000000000000000000e+00,0.000000000000000000e+00
6.917946678697681978e-06,0.000000000000000000e+00,0.000000000000000000e+00
7.166696266960311043e-06,0.000000000000000000e+00,0.000000000000000000e+00
7.419962904400815365e-06,0.000000000000000000e+00,0.000000000000000000e+00
7.677747070839931480e-06,0.000000000000000000e+00,0.000000000000000000e+00
7.940049198116323200e-06,0.000000000000000000e+00,0.000000000000000000e+00
8.206869674884789483e-06,0.000000000000000000e+00,0.000000000000000000e+00
8.478208850934646764e-06,0.000000000000000000e+00,0.000000000000000000e+00
8.754067041076281190e-06,0.000000000000000000e+00,0.000000000000000000e+00
9.034444528639040632e-06,0.000000000000000000e+00,0.000000000000000000e+00
9.319341568619339360e-06,0.000000000000000000e+00,0.000000000000000000e+00
9.608758390513945981e-06,0.000000000000000000e+00,0.000000000000000000e+00
9.902695200869955801e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.020115218557975544e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.050412951194648727e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.081162733054298687e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.112364577688480186e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.144018497293592511e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.176124502846395087e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.208682604225971414e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.241692810323496742e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.275155129141028713e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.309069567880418883e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.343436133023334295e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.378254830403274594e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.413525665270390205e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.449248642349815970e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.485423765894173296e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.522051039730821721e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.559130467304384372e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.596662051715022504e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.634645795752881110e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.673081701929091006e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.711969772503668910e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.751310009510630614e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.791102414780590838e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.831346989961101849e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.872043736534960889e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.913192655836686324e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.954793749067343430e-05,0.000000000000000000e+00,0.000000000000000000e+00
1.996847017307891596e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.039352461531194582e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.082310082612829328e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.125719881340814980e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.169581858424369174e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.213896014501787142e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.258662350147535775e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.303880865878634159e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.349551562160399505e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.395674439411618116e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.442249498009196952e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.489276738292352381e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.536756160566379809e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.584687765106043851e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.633071552158633741e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.681907521946709421e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.731195674670574869e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.780936010510503092e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.831128529628741217e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.881773232171310270e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.932870118269629786e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.984419188041977073e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.036420441594802488e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.088873879023909525e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.141779500415523425e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.195137305847245960e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.248947295388918046e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.303209469103398336e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.357923827047257790e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.413090369271411896e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.468709095821683104e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.524780006739311754e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.581303102061415508e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.638278381821398634e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.695705846049325381e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.753585494772255403e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.811917328014539881e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.870701345798095960e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.929937548142649345e-05,0.000000000000000000e+00,0.000000000000000000e+00
3.989625935065951813e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.049766506583982471e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.110359262711119874e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.171404203460306684e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.232901328843189943e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.294850638870252531e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.357252133550929040e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.420105812893710805e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.483411676906239420e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.547169725595393469e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.611379958967361714e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.676042377027716276e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.741156979781470913e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.806723767233137939e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.872742739386778368e-05,0.000000000000000000e+00,0.000000000000000000e+00
4.939213896246047995e-05,0.000000000000000000e+00,0.000000000000000000e+00
5.006137237814236018e-05,0.000000000000000000e+00,0.000000000000000000e+00
