q0 (),q1,q2,q3
9.720582573707774454e-01,5.161883024125719791e-04,2.347391366786784062e-01,-1.246526075501885693e-04
9.721964287346780420e-01,1.255257587855186045e-03,2.341632696936246094e-01,-3.023413915050704665e-04
9.722360301768286917e-01,-1.890789932168417738e-04,2.340022730746856849e-01,4.550840827753200679e-05
9.720769342816377723e-01,2.009350666837888752e-04,2.346622916231909939e-01,-4.850632861721145841e-05
9.721278559087744853e-01,-7.121345942054347570e-04,2.344501975547853556e-01,1.717470549601541382e-04
9.721118371644684730e-01,2.737493487843589766e-04,2.345175830180538101e-01,-6.604079199049237817e-05
9.721179198078291339e-01,-3.799663467863362743e-04,2.344922114132910740e-01,9.165467183052320701e-05
9.721025065882921146e-01,1.776912462702608607e-04,2.345563541504255278e-01,-4.287470776705818733e-05
9.722392755259789965e-01,-5.455366019504483653e-04,2.339881968741942542e-01,1.312939407330593680e-04
9.720223591887044989e-01,9.032521119528173553e-05,2.348883236820493436e-01,-2.182700556558694148e-05
9.720294369797249923e-01,-7.600251772124792034e-05,2.348590375763245641e-01,1.836351604829243326e-05
9.722343554585294312e-01,-8.495705506116670589e-04,2.340076803920169979e-01,2.044836543389202737e-04
9.720190138440372163e-01,6.490654097179953373e-05,2.349021759515413921e-01,-1.568558586880684059e-05
9.720300584567763691e-01,-5.659981976923107207e-04,2.348557565851829843e-01,1.367529057238393473e-04
9.722520769948131969e-01,-6.696854736228549610e-04,2.339346582628288040e-01,1.611337698550156642e-04
9.720701416352285351e-01,-8.649296954130146747e-04,2.346888323533654619e-01,2.088217008113851727e-04
9.722502382981756952e-01,-3.616044160254607877e-04,2.339430182774552003e-01,8.700931630063414221e-05
9.722524113455955908e-01,-5.296455808120503934e-04,2.339336484300286734e-01,1.274380208764147007e-04
9.722890058964670512e-01,1.431973766700870665e-04,2.337820936724420151e-01,-3.443110260767364230e-05
9.722339911963350234e-01,5.514912394230742304e-04,2.340101378143585875e-01,-1.327402066883130369e-04
9.722738713581705605e-01,-5.452946416608585282e-06,2.338450748738165330e-01,1.311507694116569120e-06
9.722627998057523646e-01,6.856505585489434213e-04,2.338900399576119560e-01,-1.649418619821830785e-04
9.720491133312064713e-01,2.950353732661918508e-04,2.347774034021191114e-01,-7.125940232570320573e-05
9.720575588918671794e-01,3.706278361008186802e-04,2.347423200562901435e-01,-8.950296958024769813e-05
9.722361726275968730e-01,5.145538953591471260e-04,2.340011635254040379e-01,-1.238446106002780102e-04
9.722165678248948506e-01,-9.662679085785314589e-04,2.340810916063756630e-01,2.326488298078563930e-04
9.722707310634340905e-01,1.035381712673699120e-04,2.338581069302986815e-01,-2.490380503497067408e-05
9.720535478952609942e-01,3.957569863450948979e-05,2.347592348910828852e-01,-9.557869267422911702e-06
9.723118753716822882e-01,3.250338912153074070e-04,2.336867674079547985e-01,-7.811909044831789124e-05
9.721751769835497159e-01,4.772603974521631080e-04,2.342545287810980092e-01,-1.150002717184454767e-04
9.721721414077511003e-01,2.772143984047689929e-04,2.342674671405267639e-01,-6.680125072822038466e-05
9.720708360019785221e-01,-4.211201629741977018e-04,2.346872431880490939e-01,1.016711194688236375e-04
9.720042409250514437e-01,3.042605637915966508e-05,2.349633048879651576e-01,-7.354913137777296081e-06
9.722219088722374725e-01,-4.072826209788611815e-04,2.340606426022705522e-01,9.805254450357864834e-05
9.720759620785632826e-01,1.034494776206627354e-03,2.346639968197434811e-01,-2.497322105925848341e-04
9.722153283739359830e-01,9.372587030692291956e-04,2.340863641780474846e-01,-2.256696389087604622e-04
9.722260912878196715e-01,2.136004548336525269e-04,2.340435411414802380e-01,-5.141993954562485049e-05
9.722199159145762382e-01,6.163098072673662870e-05,2.340692869227110340e-01,-1.483812404468591103e-05
9.720945168392662872e-01,3.637977372185167155e-04,2.345892373376066153e-01,-8.779293807430264655e-05
9.724903695581954555e-01,-5.568925233564317803e-04,2.329423817029921406e-01,1.333934759705334826e-04
9.722347607365918742e-01,-8.539817715709530652e-05,2.340076116286066710e-01,2.055452477221469655e-05
9.720453068072080205e-01,3.306266643940107704e-05,2.347933567142868883e-01,-7.986144658966438836e-06
9.723114211829845255e-01,-6.736234011229882707e-04,2.336878692976931682e-01,1.619004095683363635e-04
9.719726532278506470e-01,-4.903814139686361916e-05,2.350939361867713795e-01,1.186100210328611940e-05
9.721125578295163328e-01,9.229083058919473588e-04,2.345128431037474814e-01,-2.226427886314174946e-04
9.720817485688597603e-01,3.746508147277510022e-04,2.346421223008289259e-01,-9.043361056709203608e-05
9.721018962926086804e-01,5.656342800544627734e-04,2.345582329719103076e-01,-1.364817595191458017e-04
9.722280064946071665e-01,7.818344995762456289e-04,2.340343066775031899e-01,-1.882028637547732434e-04
9.721690477615319015e-01,9.993426021482887649e-04,2.342782232545899401e-01,-2.408266440831483078e-04
9.721635341645805672e-01,-1.224994586475902647e-03,2.342999681295305503e-01,2.952344770026742973e-04
9.720642864556600093e-01,6.425504563687072348e-04,2.347138386523675846e-01,-1.551497017671878869e-04
9.720988983783388493e-01,7.056733601095070783e-04,2.345702555762497754e-01,-1.702810081467802253e-04
9.721080318078497706e-01,1.031386634330391241e-04,2.345335013124883461e-01,-2.488352226722713808e-05
9.721198030064753803e-01,5.401816537960298309e-04,2.344840715895316341e-01,-1.302966909925361533e-04
9.719536034572635597e-01,-1.254272244459297589e-06,2.351726870297125849e-01,3.034821548549886977e-07
9.720422163306698948e-01,-2.524437389337616544e-04,2.348060097709080418e-01,6.098017764541318638e-05
9.721474123041256021e-01,-1.134731418795137392e-03,2.343673319770745445e-01,2.735634244021204853e-04
9.719617899546533213e-01,-1.530358701212872652e-04,2.351387974739319597e-01,3.702272130715670949e-05
9.718417561040068042e-01,-1.186111716247189706e-03,2.356313042186119477e-01,2.875828795098518686e-04
9.723132587092309098e-01,-3.722537256541913193e-04,2.336809370943731534e-01,8.946561066463555589e-05
9.721018381797131847e-01,-4.486529708900681705e-04,2.345587414675854854e-01,1.082556086970516788e-04
9.719396121435189828e-01,3.052356974716686914e-04,2.352302950730738029e-01,-7.387360519728856673e-05
9.721690690272972724e-01,-2.077423467782463272e-04,2.342802927336975483e-01,5.006324451886698509e-05
9.721127964805466037e-01,-1.166466748053785482e-03,2.345107057049244104e-01,2.813962960448444014e-04
9.721201603682748660e-01,2.732730066060719423e-05,2.344832467689952349e-01,-6.591565986970351402e-06
9.722398788655451929e-01,-6.246097265672446650e-04,2.339854807660538549e-01,1.503225801975170532e-04
9.720346647176928423e-01,2.791437754976088719e-04,2.348372375026022141e-01,-6.743931619243603327e-05
9.719732830663041501e-01,4.931324298028323975e-04,2.350907901205209483e-01,-1.192737440176036654e-04
9.720054100991999402e-01,5.249440840312548893e-04,2.349578495603185102e-01,-1.268920232767090149e-04
9.720271186319920931e-01,-6.750728197111353175e-04,2.348676187003860549e-01,1.631155577614467559e-04
9.721864228898479121e-01,1.579296922648791066e-05,2.342083663850383912e-01,-3.804666919653133694e-06
9.722778785460576279e-01,-5.678602253727204870e-04,2.338276839343307323e-01,1.365673787579034406e-04
9.722050591375880346e-01,-7.226444038098499669e-04,2.341298154571339885e-01,1.740297474436268725e-04
9.717777619305135728e-01,1.163454196377025960e-04,2.358982133959741934e-01,-2.824275025064982566e-05
9.721195024233898474e-01,-2.493631680726009800e-04,2.344858358370396634e-01,6.014911823773855915e-05
9.721842490738857867e-01,-8.875521484414354697e-05,2.342173723657853535e-01,2.138279161008724389e-05
9.721862142197343903e-01,4.641830226198080016e-04,2.342087464424875975e-01,-1.118260290647343666e-04
9.719646144629913165e-01,5.354727268984554346e-04,2.351265291738525998e-01,-1.295354191597332210e-04
9.723129721787043822e-01,2.667254446902438212e-04,2.336822819155247866e-01,-6.410385579911159564e-05
9.720358164924099986e-01,-5.298204171153814796e-04,2.348320130704728836e-01,1.279981591275182809e-04
9.723719477556255208e-01,4.000128488540429829e-04,2.334365566609992171e-01,-9.603076505052774445e-05
9.723668988996224671e-01,6.049443854678513777e-04,2.334571199843025191e-01,-1.452420625813357193e-04
9.720373024039583587e-01,-9.087870388556676914e-05,2.348264763485807538e-01,2.195463667474045215e-05
9.719376131382787554e-01,6.823299208527812540e-04,2.352377166195530056e-01,-1.651440693238946233e-04
9.721722277308045834e-01,-3.203396983485390414e-04,2.342670507190880991e-01,7.719314975240642977e-05
9.720170982712407204e-01,3.721670791753510792e-04,2.349097998602024950e-01,-8.994254755304908545e-05
