mag_x (uT),mag_y (uT),mag_z (uT)
2.756849269804586555e+01,-2.175696378496049466e+00,-1.639937046995844483e+01
2.757122252057487799e+01,-2.176847789906454889e+00,-1.639640704984992681e+01
2.757037916860174320e+01,-2.175191123616969424e+00,-1.639723663602846315e+01
2.757110285852806086e+01,-2.176566477100010388e+00,-1.639721983209720690e+01
2.756972592136878220e+01,-2.178698792311629440e+00,-1.639805888750133889e+01
2.756954308857336144e+01,-2.176995415271387735e+00,-1.639725447942972636e+01
2.756831330086955845e+01,-2.175962282145725180e+00,-1.639699693756331556e+01
2.756880033166597244e+01,-2.176963710310716671e+00,-1.639744385202436661e+01
2.757042179318939290e+01,-2.177404258003718063e+00,-1.639795673009151855e+01
2.756928569375549642e+01,-2.174283647166499911e+00,-1.639752495195046578e+01
2.757012371333272327e+01,-2.176160843441008463e+00,-1.639880203592350583e+01
2.757065856231203327e+01,-2.175170026784414290e+00,-1.639550839480985545e+01
2.756988893655007899e+01,-2.177976551749921441e+00,-1.639704878715134129e+01
2.757007922418830859e+01,-2.173028322290967651e+00,-1.639945233283256343e+01
2.756875488153426090e+01,-2.176632151916360058e+00,-1.639708533941223223e+01
2.757098575211139746e+01,-2.176236880184623690e+00,-1.639816035857040077e+01
2.756806457447844139e+01,-2.177141075946071425e+00,-1.639870680499413425e+01
2.757050183351665851e+01,-2.174840707202115198e+00,-1.639785497192367103e+01
2.757094800279541502e+01,-2.177280843184416614e+00,-1.639798303320345596e+01
2.757017326336037044e+01,-2.177907848813553926e+00,-1.639870064895192314e+01
2.756931690961055637e+01,-2.175955157091891579e+00,-1.639668506592164476e+01
2.757146611061241970e+01,-2.177282858984097125e+00,-1.639650219081159577e+01
2.756890895511520156e+01,-2.174997977696652374e+00,-1.639908866531975562e+01
2.756918565291114476e+01,-2.177607592930402181e+00,-1.639783830520271479e+01
2.756934094002744473e+01,-2.176206259567665668e+00,-1.639716019190410989e+01
2.756869148111072576e+01,-2.177919485057643545e+00,-1.639901162657355371e+01
2.756987351383218154e+01,-2.175553381857698643e+00,-1.639836343814426201e+01
2.757075616063054468e+01,-2.177702155628409741e+00,-1.639876096629590663e+01
2.757027209302721360e+01,-2.176057483382697999e+00,-1.639660514008911818e+01
2.756943716505939790e+01,-2.176040389640736539e+00,-1.639854585428307487e+01
2.756793798122260952e+01,-2.176200417895378880e+00,-1.639810881175684187e+01
2.756990453632872473e+01,-2.176207625261963763e+00,-1.639785659683512264e+01
2.756864714534863481e+01,-2.177936911771023443e+00,-1.639801260899387003e+01
2.756949384338265219e+01,-2.177299930268916661e+00,-1.639744838571822783e+01
2.757048734733386297e+01,-2.176602771436875638e+00,-1.639888578099931848e+01
2.756904722586186196e+01,-2.177668311178347693e+00,-1.639609285419557949e+01
2.756863888171271881e+01,-2.175335389580056678e+00,-1.639650381316983996e+01
2.757063548098834360e+01,-2.178178449822723906e+00,-1.639757542630735898e+01
2.756968667306750476e+01,-2.174376414123189161e+00,-1.639717650960034590e+01
2.756828865817816876e+01,-2.176555662202346308e+00,-1.639912452573187807e+01
2.757076543747441022e+01,-2.175959734331523787e+00,-1.639508034809800563e+01
2.757084453816174374e+01,-2.177353380951446038e+00,-1.639705342858036730e+01
2.757091029699803997e+01,-2.175668259431176033e+00,-1.639785836172913136e+01
2.757093801394469068e+01,-2.175830526137532583e+00,-1.639742264287512441e+01
2.756979156681599719e+01,-2.177525952687466848e+00,-1.639801051230937645e+01
2.757262018604391329e+01,-2.175807642388861485e+00,-1.639773508362921461e+01
2.756993578043192628e+01,-2.177327283071131880e+00,-1.639701898875160424e+01
2.756898749810159899e+01,-2.176287025753985471e+00,-1.639694075309788346e+01
2.756861669454560015e+01,-2.177675210077171908e+00,-1.639869275423072636e+01
2.757011785289179073e+01,-2.177573961319323015e+00,-1.639673557423213524e+01
2.756987640886664792e+01,-2.176084898557779646e+00,-1.639690429622005041e+01
2.756982458621009258e+01,-2.174704997212958624e+00,-1.639616828451211461e+01
2.756754357248935960e+01,-2.176507832756428229e+00,-1.639594006413051375e+01
2.756891964188823962e+01,-2.177057840528261234e+00,-1.639639165629667161e+01
2.757086335298353674e+01,-2.177517951103891125e+00,-1.639734649027914060e+01
2.756924441681309901e+01,-2.177856979507982071e+00,-1.639559939418526824e+01
2.757068289519768101e+01,-2.177328534710931685e+00,-1.639612047590826194e+01
