Yaw (deg),Pitch (deg),Roll (deg)
1.746406309992923300e-18,2.721988556241967316e+01,-4.424777137362444213e-02
-1.744301373950191704e-18,2.708515706873811624e+01,-3.627901519181967599e-02
2.182076040191335483e-19,2.717227824854768414e+01,-2.706458125310911081e-03
1.744230505329590563e-18,2.708060460391445190e+01,-4.255143038325522736e-02
1.746068068438665252e-18,2.719829953529704269e+01,3.502173460650562231e-02
0.000000000000000000e+00,2.705262385480587639e+01,1.394301404180035321e-02
0.000000000000000000e+00,2.709193623887522051e+01,2.736531730746867043e-03
0.000000000000000000e+00,2.716601384206547110e+01,-7.917028957473442111e-03
-3.490226525124046832e-18,2.713723453871096325e+01,8.378522555201550759e-02
-3.488235628756303134e-18,2.707336333306777476e+01,1.161481418737264348e-01
-4.359827364515765302e-19,2.706134956111216638e+01,-1.038169754629579208e-02
0.000000000000000000e+00,2.717760309686045161e+01,-1.105704661621848689e-02
0.000000000000000000e+00,2.704897442454680245e+01,3.705519966887796390e-02
-6.975352549726289309e-18,2.705538012469283160e+01,1.811170617929578341e-01
0.000000000000000000e+00,2.711450252456157628e+01,6.378044472698329859e-02
1.745505077383095121e-18,2.716231664324175199e+01,4.615792378607627700e-02
0.000000000000000000e+00,2.711651222565076225e+01,-6.111665054926248425e-02
-8.723311413649000198e-19,2.710832446281045804e+01,2.051961423273388277e-02
1.046738059321749120e-17,2.710198184006862121e+01,-8.560592492703740508e-02
-1.046940030056482018e-17,2.712357195848141700e+01,8.232813818081725910e-02
0.000000000000000000e+00,2.707720496738550509e+01,5.199349418162314135e-02
-3.489270200435809884e-18,2.710658053867552653e+01,-4.347681508314077403e-02
-1.744731480389536965e-18,2.711276320217516655e+01,-4.152411172275038281e-02
1.743662064402856866e-18,2.704405000907824430e+01,5.325443953894342525e-02
3.492787561810654993e-18,2.721908640746355701e+01,-7.369340947467815928e-02
0.000000000000000000e+00,2.713913910907499272e+01,8.361530805509033437e-03
-6.987324358913454459e-18,2.724696011509806581e+01,1.005434442099455705e-01
1.745530671246932386e-18,2.716395390339153337e+01,-5.782305162936249993e-02
3.490714536712898672e-18,2.715285845613671611e+01,-4.065356106425934563e-02
-3.492204978056607158e-18,2.720049730697132873e+01,-1.052340414492513448e-01
-5.235507380162912481e-18,2.714081269188692502e+01,3.827661606173538705e-02
0.000000000000000000e+00,2.715071071413377268e+01,7.973004762453885300e-03
1.090357247211709177e-19,2.710250570969296291e+01,2.166270284384804855e-03
1.308898182281366219e-18,2.714263466409544989e+01,1.305350122399423149e-02
2.725614469899662578e-20,2.709105809689766886e+01,-9.184582634149154575e-04
0.000000000000000000e+00,2.702340080858872184e+01,3.264823952641138227e-02
3.490439395044405717e-18,2.714405122702727979e+01,-5.319258691555504154e-02
-3.491667551773462896e-18,2.718333317513873126e+01,-4.979282891560113389e-02
4.361619530411528595e-19,2.710739610735743810e+01,-1.016879844742756347e-02
0.000000000000000000e+00,2.714814422564811025e+01,1.029148540128225868e-02
0.000000000000000000e+00,2.702189033770018867e+01,-1.278368874130787758e-01
0.000000000000000000e+00,2.709149012498632203e+01,-6.732642878774466877e-02
-3.490837766998493813e-18,2.715680172686585792e+01,-9.884258757498595727e-02
-1.744825479112048706e-18,2.711879118619853557e+01,-3.870817479373381276e-02
6.982261530396737887e-18,2.716617419426591340e+01,1.072449099415921231e-01
0.000000000000000000e+00,2.722562294462656496e+01,3.807324049623223017e-02
8.726990360757569467e-19,2.715546992415824334e+01,-1.609866247867978994e-02
1.744799698641263418e-18,2.711713811474349356e+01,-1.829528174810127888e-02
-3.490432373741547027e-18,2.714382642382152255e+01,7.201987239805719698e-02
-8.728481594464232940e-19,2.717454715290147504e+01,1.966900706267541918e-02
0.000000000000000000e+00,2.719810028512594613e+01,-3.738355711652745911e-02
-8.726655626929652231e-19,2.715118510374986727e+01,2.016259969262986992e-02
3.487671839338662239e-18,2.705523745551279546e+01,8.092592118813450586e-02
-1.744526711050872838e-18,2.709962513975940723e+01,-6.016535161436534912e-02
0.000000000000000000e+00,2.714144741943028905e+01,-3.206290441540926572e-02
3.489778687719580678e-18,2.712288565097474802e+01,-6.392568726482868169e-02
-3.489895622493376206e-18,2.712663331932622057e+01,-1.009110223175878895e-01
-1.744776711581270920e-18,2.711566404003871966e+01,-3.235741895023006021e-02
0.000000000000000000e+00,2.716193904178574314e+01,-3.725457818723462017e-02
3.490588031930032048e-18,2.714880956394409139e+01,3.178870694319865103e-02
-4.364615588337999837e-19,2.718412936429717774e+01,7.431037688498577307e-03
-5.234687341616863421e-18,2.712329826781953912e+01,5.479648105726556834e-02
8.720420910974369787e-19,2.707120167520351828e+01,-1.689234796001705743e-02
0.000000000000000000e+00,2.712569658243385007e+01,8.117755338454023251e-02
-1.744664945676996380e-18,2.710849529863596530e+01,-3.684735009054766058e-02
-3.487773514773439474e-18,2.705850759221429414e+01,5.841444588350693662e-02
0.000000000000000000e+00,2.716814093078384573e+01,9.312473596119991148e-02
4.363311038572908711e-19,2.715075559114766079e+01,1.044557709342019969e-02
0.000000000000000000e+00,2.705708751855702943e+01,1.290741341874933161e-02
3.490066087055109635e-18,2.713209526887406753e+01,-6.405329724923362889e-02
3.488984292786287915e-18,2.709740657579864731e+01,-6.710153157108154909e-02
3.488048446268192804e-18,2.706734729426556996e+01,6.591826072969862726e-02
0.000000000000000000e+00,2.701087165785272504e+01,9.202943976778683866e-03
0.000000000000000000e+00,2.716861761876887726e+01,6.919821389620417484e-02
0.000000000000000000e+00,2.720988206260703279e+01,-5.109344382244968702e-02
-3.490064921734867582e-18,2.713205793546250177e+01,3.935309594901515579e-02
-3.489456229022367349e-18,2.711254731889556879e+01,-9.920641326375960467e-02
6.975184669529408968e-18,2.705268000176340593e+01,-9.283550695404432784e-02
0.000000000000000000e+00,2.712239435294866752e+01,-9.057716522049319083e-03
-1.745341501290747491e-18,2.715184925934311622e+01,-4.571599024842504244e-02
0.000000000000000000e+00,2.720483475403078444e+01,7.214572549642080113e-02
8.727076886190136274e-19,2.715657735341465084e+01,2.081354641355426249e-02
1.744903808581228703e-18,2.712381288500070653e+01,-5.738030448398001582e-02
0.000000000000000000e+00,2.712473118622301627e+01,1.252468559766437839e-01
0.000000000000000000e+00,2.707403193340238445e+01,2.590533629947067498e-03
-8.719592992480583389e-19,2.706055548873703387e+01,-1.952758519471431767e-02
0.000000000000000000e+00,2.706562513846556328e+01,2.828710678404585017e-03
0.000000000000000000e+00,2.705443716392208842e+01,-5.922908521166640045e-02
-8.726623888434246461e-19,2.715077877995324585e+01,-1.971462745419699444e-02
3.488696287555208354e-18,2.708816088315058579e+01,6.711267145791793842e-02
6.982099321306745743e-18,2.716358026726187802e+01,-1.296604890614959094e-01
-3.489344644510431048e-18,2.710896851971367383e+01,-1.080643530489971971e-01
0.000000000000000000e+00,2.709947773859163078e+01,-2.698567264274775654e-02
1.746393894496454135e-18,2.721909365290548521e+01,-3.272349470151716261e-02
8.722894071365217241e-19,2.710296894907447296e+01,-2.238383854872589770e-02
-5.453220176880493797e-20,2.713192951342915293e+01,1.081907488113636106e-03
4.360816463361181510e-19,2.708677634079497665e+01,8.424799461369104556e-03
-1.742452281119330866e-18,2.696602060619553853e+01,4.184653477989858095e-02
0.000000000000000000e+00,2.711851009069112450e+01,7.068152304056325719e-02
3.492804451227664317e-18,2.721962504814383976e+01,1.199055428582009725e-01
0.000000000000000000e+00,2.713386922729766226e+01,1.907474341638006055e-01
0.000000000000000000e+00,2.718349314987865029e+01,8.841165326353085663e-02
0.000000000000000000e+00,2.691522734382856896e+01,4.096401080038696713e-02
-3.490448920233281369e-18,2.714435619372347119e+01,-6.951532414648844971e-02
8.722120905242991167e-19,2.709304341223963064e+01,2.806751169091606379e-02
3.271766812902137271e-19,2.712628010189806815e+01,-3.464455073849824224e-03
-3.489066392077546136e-18,2.710004135610297382e+01,-6.637200260276313046e-02
0.000000000000000000e+00,2.704843833683453980e+01,-3.836333446184592155e-02
3.491775266149211786e-18,2.718677454457225551e+01,8.594082454243351377e-02
0.000000000000000000e+00,2.713016164539088493e+01,1.665183683548225949e-02
0.000000000000000000e+00,2.705751313530549851e+01,-4.718140814416077466e-02
1.744111045031177458e-18,2.707292826302567335e+01,-4.107352949751739979e-02
0.000000000000000000e+00,2.714230033679156762e+01,1.809619914423617193e-02
0.000000000000000000e+00,2.709449028544847238e+01,8.498875355891599703e-02
-8.725623370356455753e-19,2.713796551091899190e+01,-2.319557397617625152e-02
-3.491334922366176010e-18,2.717270210702490374e+01,-6.734446816590330953e-02
0.000000000000000000e+00,2.721458791157355606e+01,-7.216485215015971955e-02
-1.744807585283263998e-18,2.711764382976624788e+01,4.671443704100277511e-02
3.488935110446627146e-18,2.709582801347045233e+01,-6.714542917924602727e-02
0.000000000000000000e+00,2.710001077703693539e+01,3.540644250596950565e-02
0.000000000000000000e+00,2.720880522321909822e+01,3.173737825052340422e-02
-3.489313728481163550e-18,2.710797684624898096e+01,-7.818920560433074984e-02
6.975975509904462316e-18,2.706539627339578402e+01,1.517204096549829573e-01
-8.725299662063200677e-19,2.713381807070146223e+01,2.094233586418429299e-02
0.000000000000000000e+00,2.709181163322931241e+01,2.360244925677801656e-02
1.745400069272390554e-18,2.715559773203385419e+01,-3.019958708360992797e-02
