accel_bias_x (m/s^2),accel_bias_y (m/s^2),accel_bias_z (m/s^2)
-2.760896846487580756e-04,9.999961229337107904e-02,-3.627204847713670746e-05
-1.672027526475367725e-04,9.999985578946662956e-02,-2.975441788727408067e-05
-2.912228774978236419e-04,9.999956887560458585e-02,-3.760224509784143338e-05
-4.349831602026066660e-04,9.999904302697233682e-02,-4.672622472749435763e-05
-1.699884862388141452e-04,9.999985084625728771e-02,-3.057189627849514301e-05
-1.902072011616247284e-04,9.999981380119526975e-02,-3.257217993078668637e-05
7.571351513321059523e-05,9.999996995024273971e-02,-1.665575505311983924e-05
-1.822836459429757870e-05,9.999999584519157769e-02,-2.233133210878275243e-05
1.654857578606695571e-04,9.999986248149624057e-02,-1.086948885300102489e-05
-1.127657942772725564e-04,9.999993245696642274e-02,-2.815098212203400124e-05
2.686302580000051029e-04,9.999963910569503733e-02,-4.063894182778048499e-06
-1.893988678494228507e-04,9.999981531165834381e-02,-3.264510806155208731e-05
1.794008722560982657e-04,9.999983854481003798e-02,-1.031207828086610887e-05
3.134926504848832562e-04,9.999950859714468177e-02,-1.639414204242344799e-06
-4.544467648053577190e-06,9.999999778284723861e-02,-2.056157489948113790e-05
4.046089707250085774e-06,9.999999782487911659e-02,-2.046101979319253945e-05
-2.949322520448794619e-04,9.999955733589525886e-02,-3.933944208463454923e-05
-3.059368064461703471e-04,9.999952424070748802e-02,-3.942464477886201683e-05
2.094966354168047184e-04,9.999978023599205568e-02,-7.994563118620335500e-06
-1.069729169947645234e-05,9.999999711330627428e-02,-2.151526641277585951e-05
2.222440216650072129e-04,9.999975281259726456e-02,-6.709268318821310175e-06
-2.429182221302682613e-04,9.999969857314429389e-02,-3.572138912090409016e-05
1.066573199380194559e-04,9.999994213693863543e-02,-1.402943440080492286e-05
-4.306827037841127960e-04,9.999906134069212749e-02,-4.736442925267684271e-05
-4.073530434857372019e-04,9.999915973317624607e-02,-4.600170287807190295e-05
-8.182534904892211389e-05,9.999996311600735377e-02,-2.610382001612724005e-05
-2.239351605923003388e-04,9.999974311886666856e-02,-3.506001326902545876e-05
2.321166612009673892e-04,9.999973039103816908e-02,-6.601156530250919187e-06
3.504767123485131675e-05,9.999999217505850524e-02,-1.834799655982342131e-05
-2.686815860473731714e-04,9.999963202467346268e-02,-3.748513335965591694e-05
4.388367471449673794e-04,9.999903691418321472e-02,6.208476409774274737e-06
-3.675239466500112938e-05,9.999999053011621175e-02,-2.330746997667901250e-05
-1.233970217053325703e-04,9.999991967352042654e-02,-2.895625145740456967e-05
-3.624241974551164645e-05,9.999999068156538440e-02,-2.345578494540474101e-05
-2.784278480436959045e-04,9.999960485173370328e-02,-3.882564296426286752e-05
-1.247448411087501781e-04,9.999991782277513341e-02,-2.956624487166041186e-05
2.123570263660433410e-04,9.999977415924213298e-02,-8.520206924496405662e-06
-5.497588391150035189e-04,9.999847324645858015e-02,-5.579960682845980843e-05
-4.682245949190071187e-04,9.999889077178626684e-02,-5.108953977208567572e-05
-1.535892025463310624e-04,9.999987709204044561e-02,-3.149497844355614388e-05
-1.744274210413010559e-04,9.999984256019919804e-02,-3.260383659987001355e-05
-1.351731009277378349e-04,9.999990410706924293e-02,-3.011328182439210541e-05
-4.360813673530075521e-05,9.999998755512790050e-02,-2.423436975998573089e-05
-1.498709365692325989e-05,9.999999637508148742e-02,-2.236896766245285203e-05
