q0 (),q1,q2,q3
9.996113212689682337e-01,5.507068730432054603e-05,2.787836266731277823e-02,-1.590964737653367651e-05
9.996109162267442505e-01,5.702546734229346228e-05,2.789287794947012053e-02,-1.637439526689658847e-05
9.996105099340985012e-01,5.647181119483899125e-05,2.790743483970081762e-02,-1.791351405688438355e-05
9.996100573938213607e-01,5.646250615624519498e-05,2.792364010208786898e-02,-1.710426008407579115e-05
9.996097047414999048e-01,5.262568788770943898e-05,2.793626765180639085e-02,-1.915293693941789841e-05
9.996093228726571356e-01,5.458469399704459662e-05,2.794992440863261138e-02,-1.929069358315240148e-05
9.996089199167855766e-01,5.464899478242015086e-05,2.796433176765206891e-02,-1.962329302492728838e-05
9.996084889567524723e-01,5.510494445356799159e-05,2.797973250329824357e-02,-1.838714564841499203e-05
9.996081035260057090e-01,5.250135600242865840e-05,2.799350531690587493e-02,-1.639580311697443144e-05
9.996077444080886387e-01,5.235981076180423499e-05,2.800632652062795200e-02,-1.589476861377735794e-05
9.996074800233667457e-01,5.450827396028435653e-05,2.801575654957127667e-02,-1.717957658564782424e-05
9.996071703969394706e-01,5.550436772411597772e-05,2.802680002254057459e-02,-1.705244178386890592e-05
9.996067946905112800e-01,5.357976054955283026e-05,2.804020009288684528e-02,-1.779107097145974032e-05
9.996064562168776035e-01,5.368092534320624212e-05,2.805226391077868600e-02,-1.724453692028319013e-05
9.996059744805745328e-01,5.429154599157358683e-05,2.806942369529043246e-02,-1.698773752755748095e-05
9.996055990846050010e-01,5.626055945162937775e-05,2.808278377603574613e-02,-1.920536184406579163e-05
9.996052034537564746e-01,5.674035949484558999e-05,2.809686088582910926e-02,-2.042225038384099214e-05
9.996047929133908827e-01,5.486407759910827978e-05,2.811146541704353380e-02,-2.205938385742475851e-05
9.996044901459325560e-01,5.564401998390382535e-05,2.812222710246242360e-02,-2.294843936994099128e-05
9.996041068652494754e-01,5.557216977844868088e-05,2.813584833533637475e-02,-2.209778184949459282e-05
9.996037015184880969e-01,5.543827219472681407e-05,2.815024434429418826e-02,-2.409339806235479792e-05
9.996032821853367833e-01,5.312402101969819745e-05,2.816513553868891379e-02,-2.371134061420966568e-05
9.996028162698965547e-01,5.450445032835370053e-05,2.818166334790799671e-02,-2.419713871390351829e-05
9.996024072899298840e-01,5.380523724884440787e-05,2.819616886505193001e-02,-2.250571263222325038e-05
9.996020229527841083e-01,5.243113057745180528e-05,2.820979135349473838e-02,-2.512907838660885220e-05
9.996015959114568084e-01,5.269135407122156178e-05,2.822492037230754647e-02,-2.334238359130241341e-05
9.996010824777288306e-01,5.099932605760571722e-05,2.824310270880098575e-02,-2.139630376830145705e-05
9.996007448862498368e-01,5.159165514415499192e-05,2.825504216612773414e-02,-2.744715394559160899e-05
9.996003504130064332e-01,4.857640532891460786e-05,2.826899602349223009e-02,-3.095725440367841656e-05
9.995999698232908015e-01,5.000512200012231177e-05,2.828244822610188891e-02,-3.083994160613374953e-05
9.995995998309750163e-01,4.869458537172638413e-05,2.829552436111829397e-02,-3.078508831101976284e-05
9.995992644664988269e-01,5.030451005243916595e-05,2.830736769997511601e-02,-2.968820330773722362e-05
9.995988166290710186e-01,4.926966909537354710e-05,2.832317878658917321e-02,-3.016095965003195485e-05
9.995984223074292352e-01,4.949572952158388874e-05,2.833709045318627898e-02,-3.123010069936979965e-05
9.995980239573339921e-01,4.833189346318753077e-05,2.835114012369767400e-02,-3.191093374518742343e-05
9.995976353051583274e-01,5.044040328169143242e-05,2.836483469641877531e-02,-3.317749764534653242e-05
9.995971808412832393e-01,5.155332521789507345e-05,2.838084494058136856e-02,-3.220050512191527300e-05
9.995967925351371131e-01,5.392803558325590834e-05,2.839451210271272397e-02,-3.358098045679315345e-05
9.995963280019368735e-01,5.275345658385956183e-05,2.841086314214048489e-02,-3.343105891169741189e-05
9.995959734679229491e-01,5.413126800027092897e-05,2.842333036956670028e-02,-3.445611404435198203e-05
9.995955915961294291e-01,5.874736420186251439e-05,2.843674845761739317e-02,-3.387461290482732192e-05
9.995951699862927198e-01,6.277427559832178473e-05,2.845155791067754264e-02,-3.243332170117131647e-05
9.995948144903752386e-01,6.380517277642155027e-05,2.846403906884364607e-02,-3.539406305093694219e-05
9.995944303329803438e-01,6.590871622273650730e-05,2.847752038723764742e-02,-3.655024114523780531e-05
9.995940031246873803e-01,6.686501501521188370e-05,2.849250951070910615e-02,-3.671531757709661548e-05
9.995936557793382304e-01,6.635871186843930844e-05,2.850469265903170929e-02,-3.766475205951733346e-05
9.995932996483949395e-01,6.747286075254128521e-05,2.851717858967228042e-02,-3.564732943550965314e-05
9.995928883206033344e-01,6.923333890134021119e-05,2.853158651733991164e-02,-3.736873634386988970e-05
9.995924823006668847e-01,7.194986783918857186e-05,2.854579956707510580e-02,-3.844846097064789897e-05
9.995920802751510070e-01,7.251824388989665379e-05,2.855987242611447707e-02,-3.846172959942744675e-05
9.995917279267079181e-01,7.408216676671769039e-05,2.857219621994203443e-02,-3.969256808038453042e-05
9.995913496853512381e-01,7.332400371073856252e-05,2.858542826012902896e-02,-3.935725348246548919e-05
9.995909083338578860e-01,7.331945481229540352e-05,2.860086136869794890e-02,-3.646257095105599636e-05
9.995905404044390652e-01,7.598489495765851486e-05,2.861370914840569504e-02,-3.753701716382895517e-05
9.995902134172617304e-01,7.356425343010597777e-05,2.862513329001718787e-02,-3.965933124487401281e-05
9.995898079971770045e-01,7.337107234010292853e-05,2.863928996614249420e-02,-3.788255480532025035e-05
9.995894480630515000e-01,7.168992898081693872e-05,2.865185595070695104e-02,-3.649846631442688007e-05
9.995891414552831034e-01,6.979912099539683471e-05,2.866255716073665138e-02,-3.506822370134931156e-05
9.995887074621792046e-01,6.993877081358214559e-05,2.867768869488070832e-02,-3.455108989083388002e-05
