accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.992262355922386874e+00,-3.308868479252842191e-06,-9.780326559328130998e+00
9.993028511590061669e+00,-2.181932786664519316e-06,-9.780319754731955584e+00
9.993741645706004206e+00,3.467000090344690865e-06,-9.780320183125979838e+00
9.994363021393352753e+00,2.110723744227527998e-06,-9.780330279075172939e+00
9.994936170910168727e+00,-2.514305022750324881e-07,-9.780314854894085030e+00
9.995431560680007266e+00,-1.913728809487604884e-06,-9.780321145044212017e+00
9.995891934576563997e+00,3.271823766719732135e-06,-9.780315269313106796e+00
9.996307217564147862e+00,5.059144157280506358e-06,-9.780317218449638972e+00
9.996670113279556347e+00,-4.874320671144952947e-06,-9.780320672936349879e+00
9.997011479676867651e+00,-1.068576842826366279e-06,-9.780314822365111738e+00
9.997298688615627427e+00,-2.015680081221365374e-06,-9.780328443217790380e+00
9.997566699461261308e+00,-3.494613878084396790e-06,-9.780325915425923000e+00
9.997818157921727789e+00,4.737154863564215842e-06,-9.780316567356312163e+00
9.998030359626907781e+00,2.220543650840870262e-06,-9.780312519195403453e+00
9.998224904215220477e+00,2.558324885971967435e-06,-9.780329950616149404e+00
9.998408010000982671e+00,2.051908499630708160e-06,-9.780316140339275321e+00
9.998566656895668814e+00,-5.565185778330177642e-08,-9.780312659054132496e+00
9.998709405513872994e+00,5.514512448461475134e-06,-9.780320469651758941e+00
9.998842959173130041e+00,-3.571930413074306547e-06,-9.780312195321757329e+00
9.998950607434418103e+00,7.063800576269278975e-06,-9.780312157297782250e+00
9.999064452550170401e+00,-1.603304420228348340e-06,-9.780309301813653988e+00
9.999150826683278481e+00,-6.518799797083048362e-06,-9.780318005213752386e+00
9.999238951691809874e+00,1.893950383433293036e-06,-9.780322720695895811e+00
9.999317794813389781e+00,-4.487038148014413412e-06,-9.780316949812290162e+00
9.999389643762718549e+00,-9.873958956992643430e-07,-9.780317441745006946e+00
9.999451420032212212e+00,6.235524439087941590e-06,-9.780312942865393211e+00
9.999497060465111886e+00,-6.913003728606861520e-06,-9.780318392766918834e+00
9.999549677392273850e+00,-4.123762368597783427e-06,-9.780309884732073300e+00
9.999588820828488878e+00,6.099385151428789702e-06,-9.780312751882814126e+00
9.999640041306111726e+00,-1.310465071669572155e-06,-9.780314882204542926e+00
9.999674701645943742e+00,-1.386536898084341397e-06,-9.780312682125277490e+00
9.999707011209572727e+00,-2.717210440019503541e-06,-9.780312560505324271e+00
9.999735255799933498e+00,3.330747105856736369e-06,-9.780312648821105626e+00
9.999762116851249161e+00,1.405088673029111458e-06,-9.780315520136019458e+00
9.999787724488241381e+00,2.057977830742142289e-07,-9.780314752556119373e+00
9.999807475190314321e+00,9.080891840606237361e-06,-9.780310775612058194e+00
9.999828266724323456e+00,-9.632580633693649945e-07,-9.780309047932158606e+00
9.999840166911692307e+00,1.170100331728264170e-06,-9.780306294782267429e+00
9.999863948610068221e+00,-3.647549404843833998e-06,-9.780308600118233997e+00
9.999874986187389680e+00,2.929277075179199151e-06,-9.780311072354447077e+00
9.999886932187623145e+00,-5.244582072748770476e-07,-9.780302548121568407e+00
9.999894295941762934e+00,-1.827399363458217068e-06,-9.780305167533855482e+00
9.999900197005205271e+00,5.738177351461006226e-06,-9.780311103195494127e+00
9.999913767183238988e+00,-3.807740673969908240e-06,-9.780306382002658339e+00
9.999924211782195371e+00,2.345297076215041123e-06,-9.780306599670494094e+00
9.999938039084955932e+00,-4.729312603335625642e-06,-9.780312450259684098e+00
9.999939568680181523e+00,1.032068208342327384e-05,-9.780317216066739761e+00
9.999938454414536437e+00,4.046879830615586333e-06,-9.780307744310558604e+00
9.999954931165978778e+00,-2.722682053328677803e-06,-9.780307696187433564e+00
9.999958141425992153e+00,1.091034012468686731e-05,-9.780301333930101038e+00
9.999962651585860840e+00,5.031408286237454255e-06,-9.780303760705201910e+00
9.999964004775190318e+00,-4.429565991929051036e-06,-9.780306573618759103e+00
9.999965360800313618e+00,-3.133541151126090628e-06,-9.780301736627654563e+00
9.999972769516293880e+00,-1.755786199839140298e-06,-9.780303042573613936e+00
9.999968599543182179e+00,-1.838832015836785820e-06,-9.780303537193663743e+00
9.999977835368794032e+00,-4.208758418627028932e-07,-9.780301920633418078e+00
9.999972719520423325e+00,8.457253999324583030e-06,-9.780305851870005895e+00
9.999978856018165274e+00,2.734537865152013044e-06,-9.780307992927440353e+00
9.999985634168341520e+00,2.302925672166467768e-06,-9.780309054254381351e+00
9.999982568207132161e+00,-2.195456597501001338e-06,-9.780299975876358687e+00
9.999990169602586576e+00,-1.664971465397074520e-06,-9.780301883192885626e+00
9.999978776959581594e+00,-5.133409723777796965e-06,-9.780303972296419346e+00
9.999993806778896044e+00,7.602453392970453239e-06,-9.780304252861325764e+00
9.999986351625873127e+00,-7.133908714982974596e-06,-9.780300261859991906e+00
9.999991740848884092e+00,-1.867435136693728120e-06,-9.780304368504118884e+00
9.999989255941633459e+00,-5.513452360227414587e-06,-9.780297033720534827e+00
9.999991546243290230e+00,-4.142049570429242771e-06,-9.780303713863938597e+00
9.999988679965277072e+00,5.532246778964591183e-06,-9.780302529344016449e+00
9.999991163093424618e+00,-4.558336954597612292e-06,-9.780303217675951899e+00
9.999994791729774235e+00,6.539025550696867691e-06,-9.780296781679714613e+00
9.999994435576061491e+00,-2.133862066213129002e-06,-9.780307650849596968e+00
1.000000213859005527e+01,2.788986308376598673e-06,-9.780293437398869472e+00
9.999995339324843968e+00,-1.511606210626504886e-08,-9.780293202681130893e+00
9.999998439995888333e+00,3.649160731465140201e-06,-9.780293340615742181e+00
9.999990748591264023e+00,-1.464028699363492867e-06,-9.780293895625046474e+00
9.999992156079420269e+00,-5.999504905871310831e-06,-9.780294211977968999e+00
9.999992624175474631e+00,-3.434007955682429693e-06,-9.780304790700546036e+00
9.999994384832900707e+00,-6.242452904893465807e-06,-9.780294146561079316e+00
1.000000347632997588e+01,-2.731046268981042985e-07,-9.780302406161530016e+00
9.999997379727950886e+00,-5.662609172848419145e-06,-9.780299132155271025e+00
9.999994839628062238e+00,-7.271158871143091323e-06,-9.780302027099104123e+00
9.999999775853574135e+00,8.217432251684430233e-06,-9.780296442513705557e+00
9.999997078492752323e+00,9.695499993875997284e-07,-9.780295977716004785e+00
1.000000461826477505e+01,7.267687300407457560e-06,-9.780302100078994698e+00
9.999999287243118928e+00,-9.257314196083526458e-06,-9.780292042410660969e+00
9.999996256825602003e+00,5.227220731639339234e-06,-9.780292756516159258e+00
9.999996893157813815e+00,9.604975354880591234e-07,-9.780293666612340786e+00
9.999995652110573729e+00,-7.319534208991806941e-07,-9.780294499259847285e+00
1.000000233295481955e+01,3.152496272080810671e-06,-9.780293454152609200e+00
9.999997388513339303e+00,-2.665010021591397275e-06,-9.780287932255836481e+00
1.000000139192596826e+01,1.995455294503422628e-07,-9.780290204654487951e+00
1.000000232103869813e+01,6.441394038364497376e-06,-9.780285829694374655e+00
9.999992928460473607e+00,2.220500231057510839e-06,-9.780290880962196454e+00
9.999996536457951279e+00,2.755768215096753976e-06,-9.780287825738986029e+00
1.000000607626569327e+01,7.423198422459714346e-07,-9.780281863615099880e+00
9.999997387418281036e+00,5.430418437007620324e-06,-9.780289514772185555e+00
1.000000704155062792e+01,-8.425443565913477812e-06,-9.780283304767834807e+00
1.000000244091878621e+01,-6.074372447208626252e-06,-9.780287704091865209e+00
9.999998308403856839e+00,-1.611845946939669958e-06,-9.780279818522087609e+00
9.999999371198359910e+00,-7.264129497232427746e-06,-9.780280350142854573e+00
1.000000011697826530e+01,7.251734966130009771e-06,-9.780283216664747314e+00
1.000000692023763982e+01,4.375598678386358569e-06,-9.780288359811262211e+00
1.000000805680107874e+01,4.567991336148945714e-06,-9.780285845080376461e+00
1.000000012730215637e+01,-1.032684574037544340e-06,-9.780290339859080362e+00
1.000000059756975901e+01,-5.926421592027341479e-07,-9.780276928215641874e+00
1.000000386608607172e+01,-4.380647210091971663e-06,-9.780279691248455975e+00
9.999998983789048168e+00,2.204356706123358374e-06,-9.780284135198904494e+00
1.000000345885631070e+01,1.236788697304169251e-06,-9.780287156212617461e+00
1.000000277042328278e+01,2.139280372827993713e-06,-9.780279883078621950e+00
9.999997779185054725e+00,-2.884587830167981444e-06,-9.780278383976106937e+00
9.999995188965106863e+00,2.323434934533682371e-07,-9.780284998120468032e+00
9.999992698741573705e+00,1.037486776146000646e-06,-9.780283125038645053e+00
1.000000372092249989e+01,1.288289411879567520e-06,-9.780284100288652027e+00
1.000000075665255928e+01,7.024279828945651632e-07,-9.780276126465507147e+00
9.999997343338561606e+00,-8.008523713752874651e-06,-9.780278448671428038e+00
9.999999670143575159e+00,-1.905817021700204281e-06,-9.780277316928684073e+00
9.999993599847595505e+00,-2.840583805579612338e-06,-9.780268568718046396e+00
1.000000048893026161e+01,-3.086493658391714284e-06,-9.780280365326419201e+00
9.999997814359174342e+00,-6.305720092967620657e-07,-9.780275411633981619e+00
1.000000369336969541e+01,2.836891464313847998e-06,-9.780277274237434426e+00
1.000000348680427109e+01,-1.710028393531694983e-06,-9.780270512012995354e+00
1.000000215935930825e+01,-9.512102142358213930e-06,-9.780275147819097015e+00
1.000000294001583967e+01,3.594957980462980086e-06,-9.780270992277152686e+00
9.999998724269913097e+00,-5.025395377231427030e-06,-9.780275473141674780e+00
1.000000613053828502e+01,1.299576491499235896e-06,-9.780271506170322482e+00
9.999996419297302097e+00,-6.302523872214528453e-07,-9.780279503068969760e+00
9.999992490516785182e+00,3.143068179494723468e-06,-9.780267438740226638e+00
9.999995664194605283e+00,-3.023755065548234568e-06,-9.780265604406766400e+00
1.000000715616802438e+01,-1.283921269876062747e-06,-9.780263101152641525e+00
9.999996061078524789e+00,-4.954469391944606261e-06,-9.780273902719827106e+00
1.000000172915496321e+01,1.685460962659945658e-06,-9.780267719631934753e+00
9.999995089633340939e+00,1.475758205416997947e-06,-9.780263994532079508e+00
1.000000002848390324e+01,2.820971312770057434e-06,-9.780265480673936196e+00
1.000000145319179090e+01,-9.417360759248787860e-07,-9.780273746171168625e+00
9.999991092313821994e+00,-7.497518899815336817e-06,-9.780260170539351705e+00
1.000000539183551496e+01,3.467488140202771653e-06,-9.780265501866102440e+00
