gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
1.118524410968544346e-02,4.672483499315322874e-05,5.954396762992060221e-01,1.570607117180398120e+02,-7.850145802660847549e-02,-6.727909782216910835e-03
1.134487754968913249e-02,-1.720141480447164159e-05,-1.851818019434147544e+01,1.580462113163168851e+02,1.914496141161540696e-02,-4.077489368291097385e-03
1.146667638660563669e-02,3.945488927632154500e-05,5.112310873972372605e+00,1.592164874165520132e+02,4.990854001183925304e-02,-1.786535616886500769e-02
1.162287194485396753e-02,2.822211667090963977e-05,5.309149460231977535e+00,1.600886940886886407e+02,-4.134893291962540851e-02,-3.216395923725779565e-02
1.172179142932733634e-02,-6.845257433504519490e-05,9.832706759512934713e-01,1.610721335758614146e+02,-3.434654401590919032e-02,7.553944129705550924e-03
1.182507250884961246e-02,2.605418694790359073e-05,-3.100478025333996412e-01,1.620669414777440238e+02,-3.358642408567104418e-03,4.756594173267568448e-02
1.197646412109813416e-02,-2.023700089082925289e-05,1.293308031953357329e+01,1.631199233576873553e+02,8.216946264738633765e-02,2.658909566728921703e-02
1.215318016351523041e-02,-1.671120861259494799e-05,2.682500917369288196e+00,1.641671356711165117e+02,1.254146138295799719e-02,-1.601698847953010596e-02
1.234152387061440877e-02,1.982138691380610763e-05,1.913320026816655695e+00,1.650913020846337247e+02,4.822818437744692821e-02,-5.292253992384498423e-02
1.241021619941207535e-02,-9.562928306688445865e-06,5.583111781718170796e+00,1.660827349229822971e+02,-2.539273854231008029e-02,1.470676726480569900e-02
1.263567944924303549e-02,8.676916231445541022e-06,-1.443942896566418277e+01,1.671332691164654136e+02,-5.497851580743564129e-03,-2.827529082669628241e-02
1.274704156181326146e-02,-2.716171214014852036e-05,1.631017324988429351e+01,1.681084447149164305e+02,-7.680953722147182416e-02,3.340095550114907663e-02
1.287569032942752559e-02,5.074099292103513841e-05,-6.670701317241874762e+00,1.690607032141418813e+02,-3.478444924758224773e-04,7.088259495317918157e-02
1.305327093251173326e-02,2.872500315250013214e-05,1.199876760946319187e+01,1.701023902487396526e+02,-5.326323691625222539e-02,2.097918869978233208e-02
1.330632927445007073e-02,-3.434723444454305187e-05,6.512854054057414244e-01,1.711239510854733510e+02,1.881901342773764294e-02,7.097657941887078326e-02
1.345648451992539560e-02,-3.702561355854807636e-05,9.636221186413518325e+00,1.721282199230958838e+02,1.397961702071660352e-02,6.751295568243897982e-02
1.359704293799523372e-02,-2.061425690815114127e-05,3.920387493677629287e+00,1.731050938836190767e+02,-8.007797528482478444e-02,7.966262514015611321e-03
1.363206686327224360e-02,-4.892076005832304803e-05,5.313875321690415543e-01,1.740929781802595073e+02,-7.469584879472676575e-02,-4.500304393460220070e-02
1.383975967447545648e-02,3.954771966523976080e-05,4.835254721372892028e+00,1.751073402589444470e+02,-2.936722942841031928e-02,-1.658492759536326494e-02
1.397186363759883761e-02,3.196865717721240812e-06,-7.521307191101847422e+00,1.761291482203412215e+02,-9.326218262111857227e-03,-1.333449667338090609e-02
1.413922031924418239e-02,1.251351421739233542e-05,-2.836019016414956240e-01,1.771277136778188606e+02,-2.340867668982103689e-02,-1.444309541525926922e-03
1.434490290383333075e-02,-2.404853167529026807e-05,-7.311013013113402792e+00,1.780815975030623406e+02,-3.421385871983136095e-02,-3.978961377807427313e-02
1.448178026182476465e-02,-4.325407756156232571e-05,4.621350952332722528e+00,1.791247832165227578e+02,4.038824328065675207e-02,3.841288076718680448e-03
1.468994165888359155e-02,1.984689311076270942e-05,-4.400447051460020020e+00,1.801450660530476284e+02,5.734268813435822870e-03,3.519989333149334959e-02
1.486169956321571790e-02,1.720715682812014725e-06,-1.182014788400939542e+00,1.810685258791793615e+02,-3.634722950806692360e-02,-6.731331121247744386e-04
1.495996273639125206e-02,-3.687622472913026738e-05,-6.287719774535681871e+00,1.820302658656322592e+02,-3.229542669998475279e-02,-8.720189150844509518e-02
1.509745265287761561e-02,1.029262787501233493e-04,-4.855817636311050123e+00,1.831336025633431746e+02,6.997483222864714358e-02,3.868898819723074617e-02
1.526367607308937516e-02,-5.531051736573545528e-05,6.243158784826432495e+00,1.841189492721158274e+02,5.348589740706388707e-02,-3.824463428720714653e-02
