ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.996670103634684779e+00,-3.327439182287239496e-10,-9.780318459597776126e+00
9.997003093271215945e+00,-3.479640065954565673e-10,-9.780318249727503854e+00
9.997302783944094884e+00,-3.636445427120113727e-10,-9.780318036695341277e+00
9.997572505549685573e+00,-3.797924306025034252e-10,-9.780317820501700510e+00
9.997815254994717904e+00,-3.964145742907149478e-10,-9.780317601146952811e+00
9.998033729495245936e+00,-4.135178778139565986e-10,-9.780317378631451675e+00
9.998230356545722231e+00,-4.311092452347778672e-10,-9.780317152955520399e+00
9.998407320891150363e+00,-4.491955806507563439e-10,-9.780316924119457411e+00
9.998566588802034971e+00,-4.677837882025786533e-10,-9.780316692123527389e+00
9.998709929921831829e+00,-4.868807720806052186e-10,-9.780316456967987904e+00
9.998838936929649535e+00,-5.064934365300981980e-10,-9.780316218653069882e+00
9.998955043236684048e+00,-5.266286858552716711e-10,-9.780315977178984710e+00
9.999059538913016354e+00,-5.472934244223133299e-10,-9.780315732545929563e+00
9.999153585021714363e+00,-5.684945566615070240e-10,-9.780315484754083855e+00
9.999238226519542749e+00,-5.902389870685797211e-10,-9.780315233803609232e+00
9.999314403867588297e+00,-6.125336202053766928e-10,-9.780314979694660238e+00
9.999382963480830000e+00,-6.353853606999635683e-10,-9.780314722427377205e+00
9.999444667132747711e+00,-6.588011132462430397e-10,-9.780314462001888032e+00
9.999500200419472407e+00,-6.827877826031588036e-10,-9.780314198418302851e+00
9.999550180377525521e+00,-7.073522735935596358e-10,-9.780313931676733574e+00
9.999595162339772969e+00,-7.325014911027810864e-10,-9.780313661777279677e+00
9.999635646105796027e+00,-7.582423400770011483e-10,-9.780313388720026424e+00
9.999672081495216247e+00,-7.845817255214123949e-10,-9.780313112505060857e+00
9.999704873345695688e+00,-8.115265524982572192e-10,-9.780312833132455808e+00
9.999734386011127185e+00,-8.390837261247571940e-10,-9.780312550602284105e+00
9.999760947410015532e+00,-8.672601515709710877e-10,-9.780312264914604370e+00
9.999784852669014512e+00,-8.960627340576061444e-10,-9.780311976069475222e+00
9.999806367402113594e+00,-9.254983788538074438e-10,-9.780311684066949951e+00
9.999825730661902057e+00,-9.555739912749426078e-10,-9.780311388907076520e+00
9.999843157595712739e+00,-9.862964766804018109e-10,-9.780311090589901113e+00
9.999858841836141821e+00,-1.017672740471424362e-09,-9.780310789115462811e+00
9.999872957652527816e+00,-1.049709688088964581e-09,-9.780310484483797140e+00
9.999885661887274679e+00,-1.082414225011604404e-09,-9.780310176694939628e+00
9.999897095698546678e+00,-1.115793256753526381e-09,-9.780309865748918696e+00
9.999907386128692011e+00,-1.149853688862542919e-09,-9.780309551645766319e+00
9.999916647515822987e+00,-1.184602426918198310e-09,-9.780309234385505590e+00
9.999924982764241577e+00,-1.220046376529936120e-09,-9.780308913968161377e+00
9.999932484487818130e+00,-1.256192443335341219e-09,-9.780308590393749668e+00
9.999939236039036672e+00,-1.293047532998458123e-09,-9.780308263662295332e+00
9.999945312435134070e+00,-1.330618551208176337e-09,-9.780307933773819684e+00
9.999950781191621729e+00,-1.368912403676701109e-09,-9.780307600728331607e+00
9.999955703072460622e+00,-1.407935996138087659e-09,-9.780307264525845312e+00
9.999960132765215448e+00,-1.447696234346857521e-09,-9.780306925166378562e+00
9.999964119488694791e+00,-1.488200024076678354e-09,-9.780306582649945568e+00
9.999967707539825668e+00,-1.529454271119120282e-09,-9.780306236976549883e+00
9.999970936785842923e+00,-1.571465881282476541e-09,-9.780305888146207494e+00
9.999973843107259341e+00,-1.614241760390651330e-09,-9.780305536158925506e+00
9.999976458796533407e+00,-1.657788814282111158e-09,-9.780305181014716354e+00
9.999978812916880955e+00,-1.702113948808894707e-09,-9.780304822713583590e+00
9.999980931625193747e+00,-1.747224069835688456e-09,-9.780304461255532544e+00
9.999982838462674550e+00,-1.793126083238947596e-09,-9.780304096640575651e+00
9.999984554616407451e+00,-1.839826894906081259e-09,-9.780303728868712909e+00
9.999986099154767771e+00,-1.887333410734681996e-09,-9.780303357939954978e+00
9.999987489239291705e+00,-1.935652536631805511e-09,-9.780302983854301857e+00
9.999988740315362890e+00,-1.984791178513298785e-09,-9.780302606611758875e+00
9.999989866283826245e+00,-2.034756242303167693e-09,-9.780302226212333139e+00
9.999990879655443976e+00,-2.085554633932990537e-09,-9.780301842656028199e+00
9.999991791689899046e+00,-2.137193259341365072e-09,-9.780301455942840505e+00
9.999992612520909319e+00,-2.189679024473399379e-09,-9.780301066072780714e+00
9.999993351268818387e+00,-2.243018835280230444e-09,-9.780300673045847049e+00
9.999994016141936726e+00,-2.297219597718580791e-09,-9.780300276862046616e+00
9.999994614527743408e+00,-2.352288217750343236e-09,-9.780299877521375862e+00
9.999995153074969778e+00,-2.408231601342192526e-09,-9.780299475023840117e+00
9.999995637767472800e+00,-2.465056654465230892e-09,-9.780299069369442932e+00
9.999996073990725876e+00,-2.522770283094647665e-09,-9.780298660558180757e+00
9.999996466591653643e+00,-2.581379393209418595e-09,-9.780298248590062471e+00
9.999996819932489345e+00,-2.640890890792008894e-09,-9.780297833465082746e+00
9.999997137939240943e+00,-2.701311681828112259e-09,-9.780297415183246912e+00
9.999997424145316671e+00,-2.762648672306399411e-09,-9.780296993744551415e+00
9.999997681730786070e+00,-2.824908768218291444e-09,-9.780296569149003361e+00
9.999997913557708173e+00,-2.888098875557746833e-09,-9.780296141396599197e+00
9.999998122201937178e+00,-2.952225900321062074e-09,-9.780295710487344252e+00
9.999998309981743105e+00,-3.017296748506692196e-09,-9.780295276421236750e+00
9.999998478983568972e+00,-3.083318326115079524e-09,-9.780294839198273138e+00
9.999998631085212253e+00,-3.150297539148499833e-09,-9.780294398818462298e+00
9.999998767976691738e+00,-3.218241293610915931e-09,-9.780293955281798901e+00
